rainfall,water_table_level,market_trend,final_score
12.5,6.772874778442535,217852.6735973232,65358.511229108335
8.2,5.748907764766082,106995.39178288214,32100.91709797055
0.0,0.0,180597.411508,54179.223452399994
3.7,3.6367296658844066,256479.75790747226,76945.38206410802
21.1,26.857950972129565,190936.882890546,57291.80804755265
15.3,22.55886034923022,214253.00119779803,64284.9239034791
6.8,8.425468194323148,223335.7053266585,67004.08178527528
0.0,0.0,206003.31057499757,61800.993172499264
11.2,14.595962885009714,254584.2326486766,76381.10817975698
18.6,10.437674702143115,198838.8473168986,59655.82926495044
9.5,4.958123557651576,165587.2651643253,49678.162798720645
2.1,1.486762983692501,178624.62103512883,53587.981015732126
0.0,0.0,163271.95956240906,48981.587868722716
7.4,8.754844116911341,155956.45478258477,46790.4383724222
14.9,20.41599041696232,193657.63917196603,58105.458147756595
19.2,14.020989909983166,560658.4590718829,168203.14611752884
5.6,7.623946780594756,161591.36186222726,48480.45813738041
0.0,0.0,383961.0257931581,115188.30773794743
10.8,10.724717454062091,146236.2626023991,43875.16866770136
16.3,22.31311525742651,229991.9575833833,69006.51252111795
3.9,5.6431702478506045,187527.68030414125,56260.56135934152
0.0,0.0,155155.7271460535,46546.718143816055
7.1,4.101554801564192,220969.79287553896,66292.57848458231
12.7,14.905103698496946,163136.14984835297,48946.80699598529
18.4,24.81423687325168,155755.6982912598,46736.63518212723
9.8,7.507561667451134,142716.85140108838,42818.05844499349
0.0,0.0,114934.60097723089,34480.38029316926
6.2,3.8095270158773595,106627.35408516643,31989.730036356275
15.5,11.867133256537398,175610.55428983434,52687.91314025292
21.8,28.427374928985337,86804.09571349344,26052.599664019628
11.6,10.155315343977172,96438.29852147453,28935.551682579946
0.0,0.0,96145.36849597105,28843.610548791316
4.3,4.693232205383772,132221.4666067851,39668.31727491769
9.1,10.918925446179626,154007.75401862108,46206.6937757648
17.9,16.823242129383072,130128.5126745379,39045.28309921312
7.5,8.012698993345214,157626.3744564358,47291.117416528075
0.0,0.0,378092.2693741313,113427.68081223938
5.8,8.144171303742565,280711.53946188634,84216.7195070874
13.2,6.644936540017909,373650.6978821506,112097.86733926118
19.6,9.890925003391695,265150.7420993487,79549.17899980595
10.4,7.543917170219878,204688.39133835144,61409.53496837352
0.0,0.0,283212.64052958036,84963.7921588741
6.7,4.7003708205702806,263335.07757705764,79002.40342144552
14.8,15.41628419586713,192891.4321407009,57873.59615588862
20.5,22.392866664399488,592732.0119244332,177828.5607239957
8.3,10.503567314097708,229511.27423150826,68857.5836963781
0.0,0.0,533167.0989511686,159950.12968535058
5.1,3.0731083610188374,332208.7888336695,99663.86589344525
11.9,15.780746705900402,289341.3936327058,86808.73038849409
17.3,22.538856218180058,225464.88527470033,67648.48112489737
9.6,11.556998542043537,165485.37944581194,49650.23663316039
0.0,0.0,179578.35236344335,53873.505709033
7.4,8.150367273452439,145583.68215114926,43678.36479225416
,,177666.77908334832,
,,166598.48509286394,
,,237955.2524986018,
,,183758.05555124092,
,,180660.3374010516,
,,229003.85943269738,
,,328341.53633572545,
,,329412.295701979,
,,237068.2226174105,
,,311768.03700850677,
,,304660.91467624676,
,,203600.7614749614,
,,411267.88640625635,
,,242537.25413753878,
,,194293.34717701806,
,,199468.24734571396,
,,286827.45603299275,
,,231720.00031883758,
,,275464.79335324815,
,,253869.27846951236,
,,194284.3303073124,
,,189078.96521042896,
,,146179.7052759479,
,,185849.5104754842,
,,102155.20380005591,
,,127883.92749327043,
,,213942.9435984742,
,,138902.58823387307,
,,173303.09963177072,
,,63578.72842737327,
,,121877.18685491751,
,,161217.40568141363,
,,147179.4703465265,
,,132650.22448413476,
,,136875.5997418146,
,,138963.37664902429,
,,163294.14184906578,
,,180759.8917925159,
,,389544.71570227906,
,,273788.2893739383,
,,273431.34438631835,
,,207716.74924034326,
,,160694.5577874638,
,,156461.02027218917,
,,149462.66346910325,
,,166312.26465340957,
,,208627.16238821365,
,,186361.22325167962,
,,187107.70391483486,
,,145393.8497210128,
,,140899.78224833697,
,,289996.11845244915,
,,246624.4070774428,
,,153139.3270984788,
,,219131.9513093618,
,,141219.96950809963,
,,213601.7203087038,
,,228585.27364898447,
,,236496.96024727248,
,,189382.88477208943,
,,229351.9831271352,
,,185510.8897220183,
,,213008.41927426314,
,,166145.43802254356,
,,153195.5872798258,
,,147893.74381174208,
,,134213.3193934975,
